School,StadiumCapacity,Longitude,Latitude,Enrollment,,,,,,,,,,,,,,,
Illinois Fighting Illini,"60,670",-88.23562,40.101952,"56,299",,,,,,,,,,,,,,,
Indiana Hoosiers ,"52,626",-86.522101,39.180971,"47,729",,,,,,,,,,,,,,,
Iowa Hawkeyes,"69,250",-91.551458,41.658996,"31,240",,,,,,,,,,,,,,,
Maryland Terrapins ,"51,802",-76.94986,38.9859,"40,709",,,,,,,,,,,,,,,
Michigan State Spartans,"75,005",-84.484705,42.727596,"50,344",,,,,,,,,,,,,,,
Michigan Wolverines,"107,601",-83.748611,42.265833,"50,278",,,,,,,,,,,,,,,
Minnesota Golden Gophers,"50,805",-93.229,44.976,"51,848",,,,,,,,,,,,,,,
Nebraska Cornhuskers,"85,458",-96.705,40.82,"25,108",,,,,,,,,,,,,,,
Northwestern Wildcats,"47,130",-87.69,42.067,"23,409",,,,,,,,,,,,,,,
Ohio State Buckeyes,"102,780",-83.019523,40.001656,"61,677",,,,,,,,,,,,,,,
Penn State Nittany Lions,"106,572",-77.856111,40.812777,"88,116",,,,,,,,,,,,,,,
Purdue Boilermakers,"57,236",-86.921944,40.431939,"50,884",,,,,,,,,,,,,,,
Rutgers Scarlet Knights ,"52,454",-74.465,40.513056,"50,254",,,,,,,,,,,,,,,
Wisconsin Badgers,"80,321",-89.4128,43.06955,"48,161",,,,,,,,,,,,,,,
Air Force Falcons ,52480,-104.759899,38.8632,4413,,,,,,,,,,,,,,,
Akron Zips ,30000,-81.521499,41.0804,27470,,,,,,,,,,,,,,,
Alabama Crimson Tide,101821,-87.540979,33.2377,31647,,,,,,,,,,,,,,,
Arizona State Sun Devils,73379,-111.930639,33.38835,72254,,,,,,,,,,,,,,,
Arizona Wildcats,57803,-110.891717,32.195816,39236,,,,,,,,,,,,,,,
Arkansas Razorbacks,76000,-94.155684,36.0718,23199,,,,,,,,,,,,,,,
Arkansas State Red Wolves ,30964,-90.685768,35.821828,13900,,,,,,,,,,,,,,,
Army Black Knights ,40000,-74.027317,41.362343,4624,,,,,,,,,,,,,,,
Auburn Tigers,87451,-85.480322,32.5929,25469,,,,,,,,,,,,,,,
Ball State Cardinals,22500,-87.842539,40.115904,22147,,,,,,,,,,,,,,,
Baylor Bears ,50000,-97.183198,31.56895,15029,,,,,,,,,,,,,,,
Boise State Broncos,37000,-116.2261,43.606651,19664,,,,,,,,,,,,,,,
Boston College Eagles ,44500,-71.017892,42.336029,13906,,,,,,,,,,,,,,,
Bowling Green Falcons,23724,-83.6514,41.3747,17577,,,,,,,,,,,,,,,
Buffalo Bulls,29013,-78.859684,42.8898,28860,,,,,,,,,,,,,,,
BYU Cougars,63725,-111.642674,40.24715,34101,,,,,,,,,,,,,,,
California Golden Bears,62717,-122.29729,37.86725,25885,,,,,,,,,,,,,,,
Central Michigan Chippewas ,30199,-84.778251,43.596552,28194,,,,,,,,,,,,,,,
Charlotte 49ers,15300,-80.834514,35.19755,25277,,,,,,,,,,,,,,,
Cincinnati Bearcats ,35000,-84.505957,39.139801,32264,,,,,,,,,,,,,,,
Clemson Tigers,81500,-82.812853,34.684019,19914,,,,,,,,,,,,,,,
Colorado Buffaloes ,53750,-105.251025,40.026881,32252,,,,,,,,,,,,,,,
Colorado State Rams ,34400,-105.068481,40.55555,30450,,,,,,,,,,,,,,,
Connecticut Huskies,40000,-72.256675,41.806054,25868,,,,,,,,,,,,,,,
Duke Blue Devils ,33941,-78.914969,35.980433,15427,,,,,,,,,,,,,,,
East Carolina Pirates ,50000,-77.374398,35.599826,27386,,,,,,,,,,,,,,,
Eastern Michigan Eagles ,30200,-83.621106,42.2442,23341,,,,,,,,,,,,,,,
Florida International Golden Panthers,20000,-80.376111,25.751944,44686,,,,,,,,,,,,,,,
Florida Atlantic Owls ,30000,-80.106624,26.3727,29290,,,,,,,,,,,,,,,
Florida Gators,92548,-82.336277,29.67415,49589,,,,,,,,,,,,,,,
Florida State Seminoles,82300,-84.281399,30.457,41087,,,,,,,,,,,,,,,
Fresno State Bulldogs ,41031,-119.792874,36.7806,21981,,,,,,,,,,,,,,,
Georgia Bulldogs,92746,-83.393701,33.9553,34816,,,,,,,,,,,,,,,
Georgia State Panthers,71149,-84.389167,33.735278,32022,,,,,,,,,,,,,,,
Georgia Tech Yellow Jackets,55000,-84.392778,"33.772500	",20941,,,,,,,,,,,,,,,
Hawaii Warriors,50000,-155.087501,19.696151,20429,,,,,,,,,,,,,,,
Houston Cougars ,32000,-95.349444,29.721944,39820,,,,,,,,,,,,,,,
Idaho Vandals,16000,-116.996844,46.729767,12312,,,,,,,,,,,,,,,
Iowa State Cyclones,55000,-93.625622,42.02335,29611,,,,,,,,,,,,,,,
Kansas Jayhawks ,50071,-95.255405,38.96285,27939,,,,,,,,,,,,,,,
Kansas State Wildcats ,50000,-96.589981,39.1901,23863,,,,,,,,,,,,,,,
Kent State Golden Flashes ,30520,-81.362487,41.147067,27855,,,,,,,,,,,,,,,
Kentucky Wildcats,67606,-84.45946,38.042746,27226,,,,,,,,,,,,,,,
Louisiana Tech Bulldogs ,30600,-92.639625,32.531802,11518,,,,,,,,,,,,,,,
Louisiana–Lafayette Ragin' Cajuns ,31000,-92.029499,30.21525,16885,,,,,,,,,,,,,,,
Louisiana–Monroe Warhawks ,30427,-92.084921,32.51165,8583,,,,,,,,,,,,,,,
Louisville Cardinals,56000,-85.741156,38.22475,21153,,,,,,,,,,,,,,,
LSU Tigers,92542,-91.126043,30.448967,29718,,,,,,,,,,,,,,,
Marshall Thundering Herd ,38016,-82.433767,38.41295,13966,,,,,,,,,,,,,,,
Massachusetts Minutemen,17000,-71.248359,42.06515,28084,,,,,,,,,,,,,,,
Memphis Tigers,62380,-90.006991,35.1056,22725,,,,,,,,,,,,,,,
Miami Hurricanes,74916,-80.210845,25.775667,16068,,,,,,,,,,,,,,,
Miami University RedHawks,24386,-84.747241,39.505667,17395,,,,,,,,,,,,,,,
Middle Tennessee Blue Raiders ,31000,-86.394592,35.853391,26442,,,,,,,,,,,,,,,
Mississippi State Bulldogs,55082,-88.82216,33.456723,20424,,,,,,,,,,,,,,,
Missouri Tigers,71004,-92.326696,38.9541,33805,,,,,,,,,,,,,,,
Navy Midshipmen ,34000,-76.503033,38.97165,4576,,,,,,,,,,,,,,,
NC State Wolfpack,57583,-78.658753,35.82195,34767,,,,,,,,,,,,,,,
Nevada Wolf Pack,33400,-119.748882,39.438391,18004,,,,,,,,,,,,,,,
New Mexico Lobos,40094,-106.613892,35.11265,28977,,,,,,,,,,,,,,,
New Mexico State Aggies ,30343,-106.755756,32.336067,18024,,,,,,,,,,,,,,,
North Carolina Tar Heels,62980,-79.040627,35.927613,29137,,,,,,,,,,,,,,,
North Texas Mean Green ,30850,-97.130942,33.214204,35574,,,,,,,,,,,,,,,
Northern Illinois Huskies ,30998,-88.75191,41.930629,22990,,,,,,,,,,,,,,,
Notre Dame Fighting Irish,80795,-86.265699,41.6753,12004,,,,,,,,,,,,,,,
Ohio Bobcats,24000,-82.096051,39.324177,26201,,,,,,,,,,,,,,,
Oklahoma Sooners,82112,-97.4425,35.205833,30743,,,,,,,,,,,,,,,
Oklahoma State Cowboys,60218,-97.071944,36.127778,24231,,,,,,,,,,,,,,,
Old Dominion Monarchs,19818,-76.244943,36.9232,24753,,,,,,,,,,,,,,,
Ole Miss Rebels,60580,-89.526155,34.359751,18224,,,,,,,,,,,,,,,
Oregon Ducks,53800,-123.112172,44.053,24936,,,,,,,,,,,,,,,
Oregon State Beavers ,45674,-122.656496,45.53825,24977,,,,,,,,,,,,,,,
Pittsburgh Panthers,65050,-79.976702,40.439207,28766,,,,,,,,,,,,,,,
Rice Owls,70000,-95.386728,29.7687,6224,,,,,,,,,,,,,,,
San Diego State Aztecs,70561,-117.13577,32.81495,31303,,,,,,,,,,,,,,,
San Jose State Spartans ,30456,-121.849783,37.304,30236,,,,,,,,,,,,,,,
SMU Mustangs ,32000,-96.765249,32.794151,10982,,,,,,,,,,,,,,,
South Alabama Jaguars,40646,-88.088959,30.67745,14769,,,,,,,,,,,,,,,
South Carolina Gamecocks,80250,-80.886341,34.039236,30721,,,,,,,,,,,,,,,
South Florida Bulls,65647,-82.48212,27.959,39596,,,,,,,,,,,,,,,
Southern Miss Golden Eagles ,36000,-89.306919,31.31275,11604,,,,,,,,,,,,,,,
Stanford Cardinal ,50000,-122.164887,37.42405,19945,,,,,,,,,,,,,,,
Syracuse Orange,49262,-76.144067,43.041059,20829,,,,,,,,,,,,,,,
TCU Horned Frogs,45000,-97.336249,32.753901,9518,,,,,,,,,,,,,,,
Temple Owls,68532,-75.134678,40.006817,36855,,,,,,,,,,,,,,,
Tennessee Volunteers,102455,-83.946288,35.97455,30194,,,,,,,,,,,,,,,
Texas A&M Aggies,82600,-96.3342,30.6278,49861,,,,,,,,,,,,,,,
Texas Longhorns,101624,-97.750522,30.30588,38437,,,,,,,,,,,,,,,
Texas State Bobcats ,30000,-97.929043,29.880178,34087,,,,,,,,,,,,,,,
Texas Tech Red Raiders,60454,-98.117429,29.704347,32327,,,,,,,,,,,,,,,
Toledo Rockets,26248,-83.581649,41.66395,22610,,,,,,,,,,,,,,,
Troy Trojans ,30000,-85.97,31.8086,28322,,,,,,,,,,,,,,,
Tulane Green Wave,73208,-89.931355,30.065846,13359,,,,,,,,,,,,,,,
Tulsa Golden Hurricane ,35542,-95.916407,36.12775,4092,,,,,,,,,,,,,,,
UAB Blazers,70100,-86.799223,33.527746,17575,,,,,,,,,,,,,,,
UCF Knights ,45301,-81.374248,28.504748,58587,,,,,,,,,,,,,,,
UCLA Bruins,94118,-118.1675,34.161389,40675,,,,,,,,,,,,,,,
UNLV Rebels,36800,-115.33381,36.208287,27378,,,,,,,,,,,,,,,
USC Trojans,93607,-118.287778,34.014167,38810,,,,,,,,,,,,,,,
Utah State Aggies,25513,-111.835125,41.74004,26657,,,,,,,,,,,,,,,
Utah Utes ,45634,-111.929921,40.777267,31660,,,,,,,,,,,,,,,
UTEP Miners,51500,-106.437549,31.84925,22640,,,,,,,,,,,,,,,
UTSA Roadrunners,65000,-98.505355,29.45765,30968,,,,,,,,,,,,,,,
Vanderbilt Commodores ,39790,-86.784829,36.17155,12836,,,,,,,,,,,,,,,
Virginia Cavaliers,61500,-78.485745,38.03745,24927,,,,,,,,,,,,,,,
Virginia Tech Hokies,66233,-80.428414,37.232748,30936,,,,,,,,,,,,,,,
Wake Forest Demon Deacons ,31500,-80.26291,36.1021,7351,,,,,,,,,,,,,,,
Washington Huskies,72500,-122.350326,47.6218,42428,,,,,,,,,,,,,,,
Washington State Cougars ,35117,-117.161959,46.733253,27327,,,,,,,,,,,,,,,
West Virginia Mountaineers,60540,-79.949772,39.635649,29617,,,,,,,,,,,,,,,
Western Kentucky Hilltoppers,22000,-86.441242,36.973703,21036,,,,,,,,,,,,,,,
Western Michigan Broncos ,30100,-85.588287,42.2747,25086,,,,,,,,,,,,,,,
Wyoming Cowboys ,32580,-105.583037,41.31088,12925,,,,,,,,,,,,,,,
